home_team,away_team,home_score,away_score,home_penalty,away_penalty,Attendance,Round,Date,Host,Year,Winner
Trinidad and Tobago,Sweden,0,0,,,62959,Group stage,2006-06-10,Germany,2006,Draw
Argentina,Côte d'Ivoire,2,1,,,49480,Group stage,2006-06-10,Germany,2006,Argentina
Germany,Costa Rica,4,2,,,64950,Group stage,2006-06-09,Germany,2006,Germany
Poland,Ecuador,0,2,,,52000,Group stage,2006-06-09,Germany,2006,Ecuador
Germany,Brazil,0,2,,,69029,Final,2002-06-30,"Korea Republic, Japan",2002,Brazil
Korea Republic,Türkiye,2,3,,,63483,Third-place match,2002-06-29,"Korea Republic, Japan",2002,Türkiye
Brazil,Türkiye,1,0,,,61058,Semi-finals,2002-06-26,"Korea Republic, Japan",2002,Brazil
Germany,Korea Republic,1,0,,,65625,Semi-finals,2002-06-25,"Korea Republic, Japan",2002,Germany
Spain,Korea Republic,0,0,3.0,5.0,42114,Quarter-finals,2002-06-22,"Korea Republic, Japan",2002,Korea Republic
Senegal,Türkiye,0,1,,,44233,Quarter-finals,2002-06-22,"Korea Republic, Japan",2002,Türkiye
England,Brazil,1,2,,,47436,Quarter-finals,2002-06-21,"Korea Republic, Japan",2002,Brazil
Germany,United States,1,0,,,37337,Quarter-finals,2002-06-21,"Korea Republic, Japan",2002,Germany
Japan,Türkiye,0,1,,,45666,Round of 16,2002-06-18,"Korea Republic, Japan",2002,Türkiye
Korea Republic,Italy,2,1,,,38588,Round of 16,2002-06-18,"Korea Republic, Japan",2002,Korea Republic
Mexico,United States,0,2,,,36380,Round of 16,2002-06-17,"Korea Republic, Japan",2002,United States
Brazil,Belgium,2,0,,,40440,Round of 16,2002-06-17,"Korea Republic, Japan",2002,Brazil
Sweden,Senegal,1,2,,,39747,Round of 16,2002-06-16,"Korea Republic, Japan",2002,Senegal
Spain,Republic of Ireland,1,1,3.0,2.0,38926,Round of 16,2002-06-16,"Korea Republic, Japan",2002,Spain
Germany,Paraguay,1,0,,,25176,Round of 16,2002-06-15,"Korea Republic, Japan",2002,Germany
Denmark,England,0,3,,,40582,Round of 16,2002-06-15,"Korea Republic, Japan",2002,England
Tunisia,Japan,0,2,,,45213,Group stage,2002-06-14,"Korea Republic, Japan",2002,Japan
Belgium,Russia,3,2,,,46640,Group stage,2002-06-14,"Korea Republic, Japan",2002,Belgium
Portugal,Korea Republic,0,1,,,50239,Group stage,2002-06-14,"Korea Republic, Japan",2002,Korea Republic
Poland,United States,3,1,,,26482,Group stage,2002-06-14,"Korea Republic, Japan",2002,Poland
Costa Rica,Brazil,2,5,,,38524,Group stage,2002-06-13,"Korea Republic, Japan",2002,Brazil
Türkiye,China PR,3,0,,,43605,Group stage,2002-06-13,"Korea Republic, Japan",2002,Türkiye
Mexico,Italy,1,1,,,39291,Group stage,2002-06-13,"Korea Republic, Japan",2002,Draw
Ecuador,Croatia,1,0,,,65862,Group stage,2002-06-13,"Korea Republic, Japan",2002,Ecuador
Sweden,Argentina,1,1,,,45777,Group stage,2002-06-12,"Korea Republic, Japan",2002,Draw
Nigeria,England,0,0,,,44864,Group stage,2002-06-12,"Korea Republic, Japan",2002,Draw
South Africa,Spain,2,3,,,31024,Group stage,2002-06-12,"Korea Republic, Japan",2002,Spain
Slovenia,Paraguay,1,3,,,30176,Group stage,2002-06-12,"Korea Republic, Japan",2002,Paraguay
Denmark,France,2,0,,,48100,Group stage,2002-06-11,"Korea Republic, Japan",2002,Denmark
Senegal,Uruguay,3,3,,,33681,Group stage,2002-06-11,"Korea Republic, Japan",2002,Draw
Saudi Arabia,Republic of Ireland,0,3,,,65320,Group stage,2002-06-11,"Korea Republic, Japan",2002,Republic of Ireland
Cameroon,Germany,0,2,,,47085,Group stage,2002-06-11,"Korea Republic, Japan",2002,Germany
Korea Republic,United States,1,1,,,60778,Group stage,2002-06-10,"Korea Republic, Japan",2002,Draw
Tunisia,Belgium,1,1,,,39700,Group stage,2002-06-10,"Korea Republic, Japan",2002,Draw
Portugal,Poland,4,0,,,31000,Group stage,2002-06-10,"Korea Republic, Japan",2002,Portugal
Mexico,Ecuador,2,1,,,45610,Group stage,2002-06-09,"Korea Republic, Japan",2002,Mexico
Costa Rica,Türkiye,1,1,,,42299,Group stage,2002-06-09,"Korea Republic, Japan",2002,Draw
Japan,Russia,1,0,,,66108,Group stage,2002-06-09,"Korea Republic, Japan",2002,Japan
South Africa,Slovenia,1,0,,,47226,Group stage,2002-06-08,"Korea Republic, Japan",2002,South Africa
Italy,Croatia,1,2,,,36472,Group stage,2002-06-08,"Korea Republic, Japan",2002,Croatia
Brazil,China PR,4,0,,,36750,Group stage,2002-06-08,"Korea Republic, Japan",2002,Brazil
Sweden,Nigeria,2,1,,,36194,Group stage,2002-06-07,"Korea Republic, Japan",2002,Sweden
Spain,Paraguay,3,1,,,24000,Group stage,2002-06-07,"Korea Republic, Japan",2002,Spain
Argentina,England,0,1,,,35927,Group stage,2002-06-07,"Korea Republic, Japan",2002,England
Denmark,Senegal,1,1,,,43500,Group stage,2002-06-06,"Korea Republic, Japan",2002,Draw
Cameroon,Saudi Arabia,1,0,,,52328,Group stage,2002-06-06,"Korea Republic, Japan",2002,Cameroon
France,Uruguay,0,0,,,38070,Group stage,2002-06-06,"Korea Republic, Japan",2002,Draw
Russia,Tunisia,2,0,,,30957,Group stage,2002-06-05,"Korea Republic, Japan",2002,Russia
United States,Portugal,3,2,,,37306,Group stage,2002-06-05,"Korea Republic, Japan",2002,United States
Germany,Republic of Ireland,1,1,,,35854,Group stage,2002-06-05,"Korea Republic, Japan",2002,Draw
China PR,Costa Rica,0,2,,,27217,Group stage,2002-06-04,"Korea Republic, Japan",2002,Costa Rica
Japan,Belgium,2,2,,,55256,Group stage,2002-06-04,"Korea Republic, Japan",2002,Draw
Korea Republic,Poland,2,0,,,48760,Group stage,2002-06-04,"Korea Republic, Japan",2002,Korea Republic
Croatia,Mexico,0,1,,,32239,Group stage,2002-06-03,"Korea Republic, Japan",2002,Mexico
Brazil,Türkiye,2,1,,,33842,Group stage,2002-06-03,"Korea Republic, Japan",2002,Brazil
Italy,Ecuador,2,0,,,31081,Group stage,2002-06-03,"Korea Republic, Japan",2002,Italy
Argentina,Nigeria,1,0,,,34050,Group stage,2002-06-02,"Korea Republic, Japan",2002,Argentina
Paraguay,South Africa,2,2,,,25186,Group stage,2002-06-02,"Korea Republic, Japan",2002,Draw
England,Sweden,1,1,,,52721,Group stage,2002-06-02,"Korea Republic, Japan",2002,Draw
Spain,Slovenia,3,1,,,28588,Group stage,2002-06-02,"Korea Republic, Japan",2002,Spain
Republic of Ireland,Cameroon,1,1,,,33679,Group stage,2002-06-01,"Korea Republic, Japan",2002,Draw
Uruguay,Denmark,1,2,,,30157,Group stage,2002-06-01,"Korea Republic, Japan",2002,Denmark
Germany,Saudi Arabia,8,0,,,32218,Group stage,2002-06-01,"Korea Republic, Japan",2002,Germany
France,Senegal,0,1,,,62561,Group stage,2002-05-31,"Korea Republic, Japan",2002,Senegal
Brazil,France,0,3,,,80000,Final,1998-07-12,France,1998,France
Netherlands,Croatia,1,2,,,44000,Third-place match,1998-07-11,France,1998,Croatia
France,Croatia,2,1,,,80000,Semi-finals,1998-07-08,France,1998,France
Brazil,Netherlands,1,1,4.0,2.0,60000,Semi-finals,1998-07-07,France,1998,Brazil
Netherlands,Argentina,2,1,,,60000,Quarter-finals,1998-07-04,France,1998,Netherlands
Germany,Croatia,0,3,,,43300,Quarter-finals,1998-07-04,France,1998,Croatia
Italy,France,0,0,3.0,4.0,80000,Quarter-finals,1998-07-03,France,1998,France
Brazil,Denmark,3,2,,,49500,Quarter-finals,1998-07-03,France,1998,Brazil
Romania,Croatia,0,1,,,31800,Round of 16,1998-06-30,France,1998,Croatia
Argentina,England,2,2,4.0,3.0,30600,Round of 16,1998-06-30,France,1998,Argentina
Germany,Mexico,2,1,,,29800,Round of 16,1998-06-29,France,1998,Germany
Netherlands,FR Yugoslavia,2,1,,,33000,Round of 16,1998-06-29,France,1998,Netherlands
France,Paraguay,1,0,,,31800,Round of 16,1998-06-28,France,1998,France
Nigeria,Denmark,1,4,,,77000,Round of 16,1998-06-28,France,1998,Denmark
Italy,Norway,1,0,,,55000,Round of 16,1998-06-27,France,1998,Italy
Brazil,Chile,4,1,,,45500,Round of 16,1998-06-27,France,1998,Brazil
Argentina,Croatia,1,0,,,31800,Group stage,1998-06-26,France,1998,Argentina
Japan,Jamaica,1,2,,,39100,Group stage,1998-06-26,France,1998,Jamaica
Romania,Tunisia,1,1,,,80000,Group stage,1998-06-26,France,1998,Draw
Colombia,England,0,2,,,42000,Group stage,1998-06-26,France,1998,England
Netherlands,Mexico,2,2,,,30600,Group stage,1998-06-25,France,1998,Draw
Belgium,Korea Republic,1,1,,,45500,Group stage,1998-06-25,France,1998,Draw
United States,FR Yugoslavia,0,1,,,38500,Group stage,1998-06-25,France,1998,FR Yugoslavia
Germany,IR Iran,2,0,,,35500,Group stage,1998-06-25,France,1998,Germany
South Africa,Saudi Arabia,2,2,,,31800,Group stage,1998-06-24,France,1998,Draw
France,Denmark,2,1,,,39100,Group stage,1998-06-24,France,1998,France
Spain,Bulgaria,6,1,,,41275,Group stage,1998-06-24,France,1998,Spain
Nigeria,Paraguay,1,3,,,33400,Group stage,1998-06-24,France,1998,Paraguay
Italy,Austria,2,1,,,80000,Group stage,1998-06-23,France,1998,Italy
Chile,Cameroon,1,1,,,39500,Group stage,1998-06-23,France,1998,Draw
Brazil,Norway,1,2,,,57000,Group stage,1998-06-23,France,1998,Norway
Scotland,Morocco,0,3,,,36000,Group stage,1998-06-23,France,1998,Morocco
Colombia,Tunisia,1,0,,,35500,Group stage,1998-06-22,France,1998,Colombia
Romania,England,2,1,,,33140,Group stage,1998-06-22,France,1998,Romania
Germany,FR Yugoslavia,2,2,,,41275,Group stage,1998-06-21,France,1998,Draw
Argentina,Jamaica,5,0,,,45500,Group stage,1998-06-21,France,1998,Argentina
United States,IR Iran,1,2,,,43300,Group stage,1998-06-21,France,1998,IR Iran
Japan,Croatia,0,1,,,35500,Group stage,1998-06-20,France,1998,Croatia
Belgium,Mexico,2,2,,,31800,Group stage,1998-06-20,France,1998,Draw
Netherlands,Korea Republic,5,0,,,55000,Group stage,1998-06-20,France,1998,Netherlands
Nigeria,Bulgaria,1,0,,,48000,Group stage,1998-06-19,France,1998,Nigeria
Spain,Paraguay,0,0,,,36000,Group stage,1998-06-19,France,1998,Draw
South Africa,Denmark,1,1,,,33500,Group stage,1998-06-18,France,1998,Draw
France,Saudi Arabia,4,0,,,80000,Group stage,1998-06-18,France,1998,France
Chile,Austria,1,1,,,36000,Group stage,1998-06-17,France,1998,Draw
Italy,Cameroon,3,0,,,35500,Group stage,1998-06-17,France,1998,Italy
Scotland,Norway,1,1,,,31800,Group stage,1998-06-16,France,1998,Draw
Brazil,Morocco,3,0,,,38500,Group stage,1998-06-16,France,1998,Brazil
England,Tunisia,2,0,,,54587,Group stage,1998-06-15,France,1998,England
Romania,Colombia,1,0,,,43300,Group stage,1998-06-15,France,1998,Romania
Germany,United States,2,0,,,49000,Group stage,1998-06-15,France,1998,Germany
Argentina,Japan,1,0,,,33500,Group stage,1998-06-14,France,1998,Argentina
FR Yugoslavia,IR Iran,1,0,,,36000,Group stage,1998-06-14,France,1998,FR Yugoslavia
Jamaica,Croatia,1,3,,,38100,Group stage,1998-06-14,France,1998,Croatia
